ID,Bloc,IDc_Lvl,Rep_Geo,R,W,Trial_in_Bloc,Time_Abs,Time_Rel,X,Y,P_Raw,Thickness,Err_Radiale,InT,Angle
PTEST,FVP_FB,1,1,250,100,4,18843.8437939,0.38481769999998505,957.8269963611358,792.2916773498795,3304.0,20.1328125,2.301035282913972,1,1.5794091749453056
PTEST,FVP_FB,1,1,250,100,4,18843.8506364,0.39166019999902346,957.6069453597318,792.347059125173,3288.0,20.0546875,2.358405763776517,1,1.5802792306811138
PTEST,FVP_FB,1,1,250,100,4,18843.8599769,0.4010006999997131,956.6717286037649,792.7347315522281,3272.0,19.9765625,2.7566456559823393,1,1.583964596133281
PTEST,FVP_FB,1,1,250,100,4,18843.8669511,0.4079749000011361,954.9113205925332,793.399312855751,3200.0,19.625,3.4504022760246755,1,1.5908752902024454
PTEST,FVP_FB,1,1,250,100,4,18843.8746036,0.4156274000015401,950.5653133148047,794.5623301369161,3144.0,19.3515625,4.737106126265132,1,1.6078417543123662
PTEST,FVP_FB,1,1,250,100,4,18843.8829113,0.4239350999996532,946.9344717916392,795.3376749910261,3112.0,19.1953125,5.671735428823581,1,1.6219213431402992
PTEST,FVP_FB,1,1,250,100,4,18843.890841,0.431864800000767,941.3781840061889,796.0576380698426,3128.0,19.2734375,6.733881762446515,1,1.6433936140214997
PTEST,FVP_FB,1,1,250,100,4,18843.898191,0.4392148000006273,937.6923297326724,796.389928721604,3168.0,19.46875,7.358558634883877,1,1.6575845778713456
PTEST,FVP_FB,1,1,250,100,4,18843.9071917,0.448215500000515,934.116500959858,796.6114558227783,3224.0,19.7421875,7.913541292516754,1,1.671322824849243
PTEST,FVP_FB,1,1,250,100,4,18843.914432,0.4554558000018005,928.7252514254606,796.9437464745398,3344.0,20.328125,8.840102671076124,1,1.6919187861333842
PTEST,FVP_FB,1,1,250,100,4,18843.9229118,0.46393560000069556,924.7093206498381,797.1098918004205,3400.0,20.6015625,9.520574349356593,1,1.7072030783329282
PTEST,FVP_FB,1,1,250,100,4,18843.9308211,0.4718448999992688,917.7777141056131,797.1098918004205,3448.0,20.8359375,10.553675636655157,1,1.7335623850908235
PTEST,FVP_FB,1,1,250,100,4,18843.9382591,0.47928289999981644,912.4964900719177,797.1098918004205,3472.0,20.953125,11.461431031636835,1,1.75349559769576
PTEST,FVP_FB,1,1,250,100,4,18843.9466205,0.4876442999993742,903.8044755164608,796.5006922721911,3488.0,21.03125,12.58435236718384,1,1.786473967480121
PTEST,FVP_FB,1,1,250,100,4,18843.9541665,0.4951903000001039,897.5880347267987,795.8914927439619,3504.0,21.109375,13.392690612318177,1,1.8100257360461223
PTEST,FVP_FB,1,1,250,100,4,18843.9628734,0.5038972000002104,887.190624910461,794.6177119122096,3520.0,21.1875,14.82330773619259,1,1.849319126139046
PTEST,FVP_FB,1,1,250,100,4,18843.9711021,0.512125900000683,879.2137761095671,793.399312855751,3512.0,21.1484375,15.965459648883552,1,1.8794193962095402
PTEST,FVP_FB,1,1,250,100,4,18843.9786775,0.5197012999997241,870.5767743044612,791.7932413722373,3504.0,21.109375,17.200953768007764,1,1.912047697449367
