ID,Bloc,Task,FB,IDc_Lvl,R,W,Rep,MT,RMSE,Pct_InT,Mean_Force,Std_Force,Timeout
Pilot_02,VP_FB,VP,1,1,250,100,1,5.496,25.79,84.3,2649.5,1617.5,0
Pilot_02,VP_FB,VP,1,3,250,50,1,4.654,16.97,68.0,3498.2,319.0,0
Pilot_02,VP_FB,VP,1,1,250,100,2,2.816,16.43,100.0,3833.1,346.0,0
Pilot_02,VP_FB,VP,1,2,400,100,2,3.464,15.82,100.0,3801.1,229.8,0
Pilot_02,VP_FB,VP,1,3,250,50,2,6.518,16.08,75.9,2448.9,1756.9,0
Pilot_02,VP_FB,VP,1,2,400,100,1,2.976,18.58,100.0,4161.1,177.9,0
Pilot_02,VP_FB,VP,1,4,400,50,2,4.721,11.78,79.5,4089.4,286.9,0
Pilot_02,VP_FB,VP,1,4,400,50,1,4.565,13.45,66.3,4589.7,135.2,0
Pilot_02,VP_FB,VP,1,5,400,30,2,9.545,8.95,33.2,3809.2,299.2,0
Pilot_02,VP_FB,VP,1,5,400,30,1,10.212,8.17,28.2,3789.6,255.1,0
Pilot_02,FVP_FB,FVP,1,5,400,30,2,14.475,5.51,54.4,3480.2,208.5,0
Pilot_02,FVP_FB,FVP,1,1,250,100,1,9.537,12.74,100.0,3881.5,614.8,0
Pilot_02,FVP_FB,FVP,1,3,250,50,1,8.226,6.04,97.3,3694.1,440.8,0
Pilot_02,FVP_FB,FVP,1,3,250,50,2,12.008,7.76,91.2,3563.2,644.2,0
Pilot_02,FVP_FB,FVP,1,1,250,100,2,11.056,10.78,100.0,3420.4,499.4,0
Pilot_02,FVP_FB,FVP,1,4,400,50,1,14.743,7.17,97.0,3310.5,409.9,1
Pilot_02,FVP_FB,FVP,1,2,400,100,1,8.031,12.46,100.0,3405.5,485.5,0
Pilot_02,FVP_FB,FVP,1,2,400,100,2,11.953,11.89,98.3,3316.3,814.4,0
Pilot_02,FVP_FB,FVP,1,4,400,50,2,14.943,7.33,94.1,3322.5,519.0,1
Pilot_02,FVP_FB,FVP,1,5,400,30,1,14.694,5.53,75.1,3059.4,399.7,1
Pilot_02,FVP_NoFB,FVP,0,4,400,50,2,9.27,11.41,95.7,3671.6,356.2,0
Pilot_02,FVP_NoFB,FVP,0,3,250,50,2,6.164,8.99,100.0,3779.3,153.7,0
Pilot_02,FVP_NoFB,FVP,0,1,250,100,1,3.871,17.37,100.0,3542.9,202.6,0
Pilot_02,FVP_NoFB,FVP,0,2,400,100,2,4.232,13.52,100.0,3927.1,188.4,0
Pilot_02,FVP_NoFB,FVP,0,1,250,100,2,3.199,11.76,100.0,3489.2,250.4,0
Pilot_02,FVP_NoFB,FVP,0,5,400,30,2,9.656,6.81,94.1,3536.3,197.9,0
Pilot_02,FVP_NoFB,FVP,0,5,400,30,1,10.314,7.42,92.6,3870.3,236.0,0
Pilot_02,FVP_NoFB,FVP,0,4,400,50,1,6.694,16.87,81.4,3767.7,284.2,0
Pilot_02,FVP_NoFB,FVP,0,2,400,100,1,5.488,23.5,90.3,3623.3,239.1,0
Pilot_02,FVP_NoFB,FVP,0,3,250,50,1,5.19,11.44,100.0,3588.7,313.3,0
Pilot_02,VP_NoFB,VP,0,2,400,100,2,4.6,12.23,100.0,3557.7,372.4,0
Pilot_02,VP_NoFB,VP,0,2,400,100,1,4.659,13.8,100.0,3869.6,536.5,0
Pilot_02,VP_NoFB,VP,0,3,250,50,2,5.35,10.14,100.0,3671.5,366.1,0
Pilot_02,VP_NoFB,VP,0,5,400,30,2,8.183,6.67,95.7,3633.2,373.8,0
Pilot_02,VP_NoFB,VP,0,4,400,50,1,5.965,11.77,97.0,3915.0,458.2,0
Pilot_02,VP_NoFB,VP,0,1,250,100,2,2.569,10.86,100.0,3814.7,148.6,0
Pilot_02,VP_NoFB,VP,0,4,400,50,2,5.644,13.78,92.1,3893.5,182.4,0
Pilot_02,VP_NoFB,VP,0,1,250,100,1,2.76,17.96,100.0,3614.5,236.8,0
Pilot_02,VP_NoFB,VP,0,5,400,30,1,9.127,6.36,97.5,3307.3,368.9,0
Pilot_02,VP_NoFB,VP,0,3,250,50,1,3.817,14.32,88.5,3396.3,319.7,0
