Metrique,Novice_Mean,Novice_SD,Expert_Mean,Expert_SD,P-Value,Significatif
H1: Throughput Effectif (bits/s),1.215712171380672,0.05845764484258939,1.5132361192264565,0.0740374096255626,0.012561004020710684,*
Précision (% Sortie Tunnel),100.0,0.0,100.0,0.0,,ns
Largeur Effective (Dispersion px),13.473003899053333,0.755122288009866,4.230143687946302,0.2735345097131059,0.001292069969391476,**
H3: Fluidité (Log Jerk),20.474000600432152,0.270607284058079,18.165262284225303,0.18623670558606145,0.0010275492277056432,**
H2: Stabilité Force (SD),37.42078943649425,0.0,36.434246449276685,0.0,0.0,***
Vitesse Moyenne (px/s),483.54364519823554,0.4004604751343091,472.04660915719734,0.23989148530309198,2.5564070900123874e-05,***
