Metrique,P-Value,Cohen_d
IPe,1.6234793595767982e-13,-4.9391126747604455
Duration,1.2675402996617417e-10,2.4062616091780793
IDe,7.51127678739506e-18,-8.490824189012265
Be,,0.0
Error_Rate,,0.0
Te,1.7329393372442904e-25,7.51514667910207
LDLJ,1.3702973273845964e-25,5.975211023727391
Force_SD,8.482662247409264e-18,4.832928813427726
